xAccl,yAccl,zAccl,newPosition,time,pcTime
1007,-66,-48,0,346576,440.8750534057617
1007,-72,-59,0,371498,465.65890312194824
1008,-75,-45,0,396502,490.71788787841797
1006,-65,-53,0,421509,515.7649517059326
1011,-67,-53,0,446513,540.7419204711914
1008,-74,-44,0,471520,565.7110214233398
1007,-75,-54,0,496524,590.7700061798096
1009,-70,-54,0,521532,615.6401634216309
1011,-68,-55,0,546535,640.8300399780273
1008,-77,-49,0,571542,665.7741069793701
1009,-74,-53,0,596550,690.7551288604736
1008,-67,-54,0,621557,715.8370018005371
1005,-75,-51,0,646561,740.7779693603516
1005,-75,-61,0,671564,765.718936920166
1005,-71,-50,0,696568,790.8599376678467
1004,-74,-54,0,721576,815.7880306243896
1005,-74,-47,0,746583,840.7721519470215
1004,-72,-45,0,771589,865.678071975708
1008,-78,-49,0,796590,890.7461166381836
1013,-74,-53,0,821597,915.7459735870361
1006,-72,-54,0,846597,940.6070709228516
1009,-72,-57,0,871604,965.7158851623535
1006,-78,-60,0,896612,990.6740188598633
1010,-66,-53,0,921619,1015.7408714294434
1007,-79,-55,0,946623,1040.8408641815186
1013,-72,-63,0,971630,1065.7641887664795
1017,-75,-59,0,996638,1090.7859802246094
989,-120,-50,0,1021645,1115.6620979309082
1160,-144,-28,0,1046649,1140.820026397705
1155,-123,17,0,1071657,1165.6630039215088
997,-98,83,0,1096660,1190.6509399414062
931,-105,167,0,1121664,1215.684175491333
1077,-146,302,0,1146667,1240.7290935516357
894,-69,437,0,1171674,1265.7239437103271
834,29,601,0,1196678,1290.7729148864746
549,65,740,0,1221682,1315.7660961151123
621,-141,771,0,1246685,1340.7180309295654
439,-14,822,0,1271693,1365.7569885253906
-111,80,877,0,1296697,1390.805959701538
-536,110,975,0,1321704,1415.8048629760742
-408,106,880,0,1346708,1440.8581256866455
-619,120,831,0,1371711,1465.7509326934814
-1145,145,709,0,1396715,1490.800142288208
-831,99,509,0,1421722,1515.7771110534668
-792,133,412,0,1446726,1540.7578945159912
-1083,76,253,0,1471733,1565.8140182495117
-1188,-26,54,0,1496737,1590.8160209655762
-1019,136,142,0,1521744,1615.7939434051514
-1107,154,119,0,1546751,1640.8379077911377
-1074,136,93,0,1571755,1665.8129692077637
-1107,145,89,0,1596759,1690.802812576294
-1070,152,152,0,1621762,1715.7738208770752
-1072,133,149,0,1646767,1740.8168315887451
-911,150,270,0,1671773,1765.7549381256104
-929,181,340,0,1696777,1790.8000946044922
-1047,102,412,0,1721785,1815.8600330352783
-647,215,509,0,1746792,1840.83890914917
-809,91,654,0,1771802,1865.934133529663
-701,131,757,0,1796802,1890.841007232666
-446,91,854,0,1821808,1915.842056274414
-253,85,902,0,1846814,1940.807819366455
-434,147,1023,0,1871822,1965.7700061798096
288,-61,885,0,1896823,1990.725040435791
407,-8,882,0,1921826,2015.8038139343262
607,-32,793,0,1946830,2040.8051013946533
826,-15,687,0,1971837,2065.77205657959
890,-53,543,0,1996838,2090.757131576538
1110,-53,537,0,2021841,2115.8039569854736
994,-67,357,0,2046848,2140.821933746338
996,-118,157,0,2071852,2165.8082008361816
1069,-83,206,0,2096852,2190.768003463745
1032,-92,147,0,2121855,2215.824842453003
1054,-74,140,0,2146859,2240.8697605133057
1006,-75,122,0,2171860,2265.7999992370605
