xAccl,yAccl,zAccl,newPosition,time,pcTime
986,-18,-139,0,346578,440.01102447509766
1004,-9,-20,0,371496,464.95580673217773
852,33,187,0,396496,490.05699157714844
977,-134,298,0,421500,514.9848461151123
498,88,594,0,446507,540.0047302246094
316,109,787,0,471510,564.9538040161133
-77,83,873,0,496515,590.0390148162842
-139,-6,866,0,521521,614.9539947509766
-486,-16,756,0,546522,640.0628089904785
-803,245,637,0,571525,664.9830341339111
-1101,203,439,0,596533,690.0019645690918
-883,58,163,0,621540,714.9548530578613
-991,-29,-51,0,646547,740.0088310241699
-1179,-364,-724,0,671551,765.1069164276123
-954,122,-297,0,696559,790.0049686431885
-1031,114,-420,0,721562,815.0367736816406
-950,87,-543,0,746569,839.9369716644287
-889,124,-602,0,771572,865.0150299072266
-841,174,-531,0,796573,889.9519443511963
-876,102,-640,0,821577,915.0028228759766
-783,99,-658,0,846584,940.0026798248291
-820,118,-673,0,871588,964.9689197540283
-837,129,-646,0,896588,989.9828433990479
-850,110,-633,0,921592,1014.9717330932617
-878,166,-583,0,946599,1040.0009155273438
-906,109,-453,0,971602,1064.9738311767578
-966,202,-354,0,996610,1089.9629592895508
-937,142,-336,0,1021613,1114.8769855499268
-588,179,-63,0,1046620,1139.9807929992676
-998,186,-3,0,1071624,1164.9417877197266
-956,314,194,0,1096624,1190.0129318237305
-819,43,282,0,1121628,1215.0018215179443
-933,132,445,0,1146628,1240.0109767913818
-743,65,586,0,1171635,1264.9517059326172
-277,139,839,0,1196643,1290.0700569152832
-198,25,853,0,1221650,1314.9728775024414
163,36,864,0,1246657,1339.9927616119385
296,68,836,0,1271665,1364.9208545684814
1051,142,774,0,1296669,1389.9867534637451
633,-335,252,0,1321672,1414.95680809021
676,-58,266,0,1346679,1440.000057220459
1061,-20,198,0,1371687,1464.9598598480225
1228,-149,-7,0,1396694,1489.9530410766602
982,-61,-149,0,1421701,1514.946699142456
1063,-68,-271,0,1446701,1539.9596691131592
991,-47,-347,0,1471708,1564.943790435791
938,-61,-446,0,1496712,1589.9848937988281
940,-49,-463,0,1521716,1614.9468421936035
977,-28,-478,0,1546723,1639.9998664855957
898,-25,-516,0,1571731,1664.9510860443115
888,-16,-510,0,1596738,1689.9430751800537
845,77,-439,0,1621738,1714.932918548584
931,-56,-432,0,1646746,1739.9439811706543
1020,-86,-421,0,1671749,1764.9898529052734
937,19,-319,0,1696756,1789.9327278137207
1114,-42,-117,0,1721759,1814.9759769439697
1063,-56,-131,0,1746763,1839.9958610534668
995,-86,10,0,1771767,1864.985704421997
1019,-5,197,0,1796771,1889.967918395996
1057,-29,400,0,1821774,1914.9959087371826
698,8,590,0,1846782,1940.02103805542
702,-82,686,0,1871786,1964.9829864501953
439,78,851,0,1896787,1989.9578094482422
148,-13,852,0,1921794,2014.9688720703125
-327,54,901,0,1946804,2039.9558544158936
-933,293,910,0,1971809,2064.955949783325
-812,127,708,0,1996815,2089.9949073791504
-882,130,498,0,2021821,2115.003824234009
-840,110,269,0,2046824,2139.976978302002
-628,105,285,0,2071825,2164.9818420410156
-1030,121,22,0,2096828,2189.9867057800293
-1075,135,-72,0,2121835,2214.9298191070557
-1115,162,-164,0,2146835,2239.9230003356934
-1020,120,-250,0,2171839,2264.941692352295
-1051,175,-296,0,2196843,2289.95680809021
-1031,144,-307,0,2221849,2314.985990524292
-1043,142,-316,0,2246857,2339.9670124053955
-1014,147,-294,0,2271865,2365.018844604492
-1061,166,-247,0,2296868,2389.954090118408
-971,164,-212,0,2321876,2414.9558544158936
-1066,178,-70,0,2346883,2439.9759769439697
-1150,181,-54,0,2371890,2464.9758338928223
-1124,43,-84,0,2396894,2489.961862564087
-1002,171,254,0,2421898,2514.9786472320557
-855,80,339,0,2446901,2539.94083404541
-777,105,527,0,2471911,2564.952850341797
-692,91,675,0,2496916,2589.923858642578
-396,55,771,0,2521916,2614.9539947509766
43,81,880,0,2546923,2639.9989128112793
37,24,936,0,2571930,2664.9868488311768
247,65,827,0,2596931,2689.98384475708
0,-221,711,0,2621937,2714.996814727783
769,-20,688,0,2646938,2740.083932876587
845,-5,471,0,2671942,2765.070676803589
860,-47,305,0,2696946,2789.9699211120605
1278,-215,-8,0,2721952,2815.0808811187744
962,-241,-49,0,2746960,2840.0049209594727
1023,-82,-54,0,2771967,2865.090847015381
1087,-59,-138,0,2796967,2889.9948596954346
1031,-83,-197,0,2821974,2915.0309562683105
1003,-76,-218,0,2846978,2940.0126934051514
1013,-38,-210,0,2871985,2965.009927749634
1131,-85,-245,0,2896997,2989.9909496307373
1044,-60,-183,0,2921999,3015.0039196014404
1131,-141,-189,0,2947008,3041.1016941070557
1075,-60,-75,0,2972014,3065.026044845581
988,-108,45,0,2997015,3090.0826454162598
923,54,146,0,3022019,3115.039825439453
972,-9,278,0,3047025,3140.0599479675293
886,-53,401,0,3072035,3165.06290435791
764,-107,517,0,3097040,3190.0627613067627
685,-50,720,0,3122049,3214.951992034912
348,-2,794,0,3147058,3239.9868965148926
-370,33,947,0,3172060,3265.0139331817627
14,-35,886,0,3197067,3290.057897567749
